Title,Category,Release date,Ratings,Metascore,Page URL
Bill Cunningham New York,movie,"MAR 16, 2011",Not Rated,76,https://www.metacritic.com/movie/bill-cunningham-new-york/
Lo and Behold: Reveries of the Connected World,movie,"AUG 19, 2016",PG-13,76,https://www.metacritic.com/movie/lo-and-behold-reveries-of-the-connected-world/
"All Light, Everywhere",movie,"JUN 4, 2021",Unrated,76,https://www.metacritic.com/movie/all-light-everywhere/
Service (Serbis),movie,"JAN 30, 2009",R,76,https://www.metacritic.com/movie/service-serbis/
A Nightmare on Elm Street,movie,"NOV 16, 1984",R,76,https://www.metacritic.com/movie/a-nightmare-on-elm-street-1984/
Dig!,movie,"OCT 1, 2004",R,76,https://www.metacritic.com/movie/dig!/
Keep Quiet,movie,"FEB 10, 2017",N/A,76,https://www.metacritic.com/movie/keep-quiet/
Leaning Into the Wind,movie,"MAR 9, 2018",PG,76,https://www.metacritic.com/movie/leaning-into-the-wind/
A Poem Is a Naked Person,movie,"JUL 1, 2015",Not Rated,76,https://www.metacritic.com/movie/a-poem-is-a-naked-person/
Broken Embraces,movie,"NOV 20, 2009",R,76,https://www.metacritic.com/movie/broken-embraces/
Kandahar,movie,"DEC 14, 2001",Not Rated,76,https://www.metacritic.com/movie/kandahar/
Brighton 4th,movie,"JAN 28, 2022",N/A,76,https://www.metacritic.com/movie/brighton-4th/
Rosetta,movie,"NOV 5, 1999",R,76,https://www.metacritic.com/movie/rosetta/
Blue Caprice,movie,"SEP 13, 2013",R,76,https://www.metacritic.com/movie/blue-caprice/
 I Like Movies,movie,,N/A,76,https://www.metacritic.com/movie/i-like-movies/
Spettacolo,movie,"SEP 6, 2017",TV-PG,76,https://www.metacritic.com/movie/spettacolo/
Two Gods,movie,"MAY 21, 2021",N/A,76,https://www.metacritic.com/movie/two-gods/
Tramps,movie,"APR 21, 2017",N/A,76,https://www.metacritic.com/movie/tramps/
Maggie's Plan,movie,"MAY 20, 2016",R,76,https://www.metacritic.com/movie/maggies-plan/
Heavy,movie,"JUN 5, 1996",R,76,https://www.metacritic.com/movie/heavy/
The Sure Thing,movie,"MAR 1, 1985",PG-13,76,https://www.metacritic.com/movie/the-sure-thing/
Tender Mercies,movie,"MAR 4, 1983",PG,76,https://www.metacritic.com/movie/tender-mercies/
,movie,"APR 3, 2009",R,76,https://www.metacritic.com/movie/adventureland/
Every Little Step,movie,"APR 17, 2009",PG-13,76,https://www.metacritic.com/movie/every-little-step/
Testament of Youth,movie,"JUN 5, 2015",PG-13,76,https://www.metacritic.com/movie/testament-of-youth/
Like Someone in Love,movie,"FEB 15, 2013",Not Rated,76,https://www.metacritic.com/movie/like-someone-in-love/
Beats Rhymes & Life: The Travels of a Tribe Called Quest,movie,"JUL 8, 2011",R,76,https://www.metacritic.com/movie/beats-rhymes-life-the-travels-of-a-tribe-called-quest/
Be Natural: The Untold Story of Alice Guy-Blaché,movie,"APR 19, 2019",Not Rated,76,https://www.metacritic.com/movie/be-natural-the-untold-story-of-alice-guy-blache/
Sid and Nancy,movie,"NOV 7, 1986",R,76,https://www.metacritic.com/movie/sid-and-nancy/
Lady Macbeth,movie,"JUL 14, 2017",R,76,https://www.metacritic.com/movie/lady-macbeth/
Inside Man,movie,"MAR 24, 2006",R,76,https://www.metacritic.com/movie/inside-man/
Fifi Howls from Happiness,movie,"AUG 8, 2014",Unrated,76,https://www.metacritic.com/movie/fifi-howls-from-happiness/
Piaffe,movie,"AUG 25, 2023",N/A,76,https://www.metacritic.com/movie/piaffe/
Chico & Rita,movie,"FEB 10, 2012",Not Rated,76,https://www.metacritic.com/movie/chico-rita/
Something in the Air,movie,"MAY 3, 2013",Not Rated,76,https://www.metacritic.com/movie/something-in-the-air/
Dolemite Is My Name,movie,"OCT 4, 2019",R,76,https://www.metacritic.com/movie/dolemite-is-my-name/
Rebirth,movie,"SEP 2, 2011",PG,76,https://www.metacritic.com/movie/rebirth/
Guardians of the Galaxy,movie,"AUG 1, 2014",PG-13,76,https://www.metacritic.com/movie/guardians-of-the-galaxy/
 Ain't in It for My Health: A Film About Levon Helm,movie,"APR 19, 2013",Unrated,76,https://www.metacritic.com/movie/aint-in-it-for-my-health-a-film-about-levon-helm/
Birdman of Alcatraz,movie,"JUL 3, 1962",Approved,76,https://www.metacritic.com/movie/birdman-of-alcatraz/
The Hunter,movie,"JAN 4, 2012",N/A,76,https://www.metacritic.com/movie/the-hunter/
Lore,movie,"FEB 8, 2013",Not Rated,76,https://www.metacritic.com/movie/lore/
We Are Little Zombies,movie,"JUL 10, 2020",N/A,76,https://www.metacritic.com/movie/we-are-little-zombies/
A Prayer Before Dawn,movie,"AUG 10, 2018",R,76,https://www.metacritic.com/movie/a-prayer-before-dawn/
I Carry You with Me,movie,"JUN 25, 2021",R,76,https://www.metacritic.com/movie/i-carry-you-with-me/
Morning Sun,movie,"OCT 22, 2003",N/A,76,https://www.metacritic.com/movie/morning-sun/
Princess Mononoke,movie,"OCT 29, 1999",PG-13,76,https://www.metacritic.com/movie/princess-mononoke/
When Harry Met Sally...,movie,"JUL 12, 1989",R,76,https://www.metacritic.com/movie/when-harry-met-sally/
Jesus' Son,movie,"JUN 16, 2000",R,76,https://www.metacritic.com/movie/jesus-son/
Grand Tour,movie,,N/A,76,https://www.metacritic.com/movie/grand-tour/
In America,movie,"NOV 26, 2003",TV-MA,76,https://www.metacritic.com/movie/in-america/
Corsage,movie,"DEC 23, 2022",N/A,76,https://www.metacritic.com/movie/corsage/
Hara-Kiri: Death of a Samurai,movie,"JUL 20, 2012",Not Rated,76,https://www.metacritic.com/movie/hara-kiri-death-of-a-samurai/
The Army of Crime,movie,"AUG 20, 2010",Not Rated,76,https://www.metacritic.com/movie/the-army-of-crime/
Escape from Alcatraz,movie,"JUN 22, 1979",PG,76,https://www.metacritic.com/movie/escape-from-alcatraz/
The Blind Man Who Did Not Want to See Titanic,movie,"FEB 3, 2023",N/A,76,https://www.metacritic.com/movie/the-blind-man-who-did-not-want-to-see-titanic/
Dirty Wars,movie,"JUN 7, 2013",Not Rated,76,https://www.metacritic.com/movie/dirty-wars/
Grosse Pointe Blank,movie,"APR 11, 1997",R,76,https://www.metacritic.com/movie/grosse-pointe-blank/
Machuca,movie,"JAN 19, 2005",Not Rated,76,https://www.metacritic.com/movie/machuca/
Boyz n the Hood,movie,"JUL 12, 1991",R,76,https://www.metacritic.com/movie/boyz-n-the-hood/
Night School,movie,"JUN 9, 2017",Unrated,76,https://www.metacritic.com/movie/night-school/
Red Rocket,movie,"DEC 10, 2021",R,76,https://www.metacritic.com/movie/red-rocket/
 3:10 to Yuma,movie,"SEP 7, 2007",R,76,https://www.metacritic.com/movie/310-to-yuma/
Jane Eyre,movie,"MAR 11, 2011",PG-13,76,https://www.metacritic.com/movie/jane-eyre/
Wolf Children,movie,"SEP 27, 2013",PG,76,https://www.metacritic.com/movie/wolf-children/
Actress,movie,"NOV 7, 2014",Not Rated,76,https://www.metacritic.com/movie/actress/
Children of the Revolution,movie,"APR 30, 1997",R,76,https://www.metacritic.com/movie/children-of-the-revolution/
A Monster Calls,movie,"DEC 23, 2016",PG-13,76,https://www.metacritic.com/movie/a-monster-calls/
Buck,movie,"JUN 17, 2011",PG,76,https://www.metacritic.com/movie/buck/
Machines,movie,"AUG 9, 2017",N/A,76,https://www.metacritic.com/movie/machines/
And Everything Is Going Fine,movie,"DEC 10, 2010",Not Rated,76,https://www.metacritic.com/movie/and-everything-is-going-fine/
Their Finest,movie,"APR 7, 2017",R,76,https://www.metacritic.com/movie/their-finest/
Creepy,movie,"OCT 21, 2016",Not Rated,76,https://www.metacritic.com/movie/creepy/
The White Tiger,movie,"JAN 13, 2021",R,76,https://www.metacritic.com/movie/the-white-tiger/
Syriana,movie,"NOV 23, 2005",R,76,https://www.metacritic.com/movie/syriana/
The Stroll,movie,"JUN 21, 2023",N/A,76,https://www.metacritic.com/movie/the-stroll/
Silent Souls,movie,"SEP 16, 2011",Not Rated,76,https://www.metacritic.com/movie/silent-souls/
Djomeh,movie,"SEP 5, 2001",N/A,76,https://www.metacritic.com/movie/djomeh/
The Baader Meinhof Complex,movie,"AUG 21, 2009",R,76,https://www.metacritic.com/movie/the-baader-meinhof-complex/
Retrograde,movie,"NOV 11, 2022",R,76,https://www.metacritic.com/movie/retrograde/
The Snake Pit,movie,"NOV 13, 1948",Approved,76,https://www.metacritic.com/movie/the-snake-pit/
It Felt Like Love,movie,"MAR 21, 2014",Unrated,76,https://www.metacritic.com/movie/it-felt-like-love/
Intimate Stories,movie,"MAR 4, 2005",Unrated,76,https://www.metacritic.com/movie/intimate-stories/
Dreamgirls,movie,"DEC 15, 2006",PG-13,76,https://www.metacritic.com/movie/dreamgirls/
I Am: Celine Dion,movie,"JUN 25, 2024",PG,76,https://www.metacritic.com/movie/i-am-celine-dion/
Outside In,movie,"MAR 30, 2018",TV-MA,76,https://www.metacritic.com/movie/outside-in/
 Dogtown and Z-Boys,movie,"APR 26, 2002",PG-13,76,https://www.metacritic.com/movie/dogtown-and-z-boys/
Zappa,movie,"NOV 27, 2020",Not Rated,76,https://www.metacritic.com/movie/zappa/
All Quiet on the Western Front,movie,"OCT 7, 2022",R,76,https://www.metacritic.com/movie/all-quiet-on-the-western-front-2022/
Peter Pan,movie,"FEB 5, 1953",G,76,https://www.metacritic.com/movie/peter-pan-1953/
The Greatest Show on Earth,movie,"MAY 1, 1952",Approved,76,https://www.metacritic.com/movie/the-greatest-show-on-earth/
Escape from New York,movie,"JUL 10, 1981",R,76,https://www.metacritic.com/movie/escape-from-new-york/
The Death and Life of Marsha P. Johnson,movie,"OCT 6, 2017",TV-MA,76,https://www.metacritic.com/movie/the-death-and-life-of-marsha-p-johnson/
Flight,movie,"NOV 2, 2012",R,76,https://www.metacritic.com/movie/flight/
Tucker: The Man and His Dream,movie,"AUG 12, 1988",PG,76,https://www.metacritic.com/movie/tucker-the-man-and-his-dream/
99 Homes,movie,"SEP 25, 2015",R,76,https://www.metacritic.com/movie/99-homes/
Father of My Children,movie,"MAY 28, 2010",Not Rated,76,https://www.metacritic.com/movie/father-of-my-children/
The Trial of the Chicago 7,movie,"SEP 25, 2020",R,76,https://www.metacritic.com/movie/the-trial-of-the-chicago-7/
A Cop Movie,movie,"OCT 20, 2021",R,76,https://www.metacritic.com/movie/a-cop-movie/
Flora and Son,movie,"SEP 22, 2023",R,76,https://www.metacritic.com/movie/flora-and-son/
The Lunchbox,movie,"FEB 28, 2014",PG,76,https://www.metacritic.com/movie/the-lunchbox/
Citizen K,movie,"NOV 22, 2019",Not Rated,76,https://www.metacritic.com/movie/citizen-k/
Dave,movie,"MAY 7, 1993",PG-13,76,https://www.metacritic.com/movie/dave/
The Sleepy Time Gal,movie,"MAY 29, 2002",R,76,https://www.metacritic.com/movie/the-sleepy-time-gal/
This So-Called Disaster: Sam Shepard Directs the Late Henry Moss,movie,"APR 21, 2004",R,76,https://www.metacritic.com/movie/this-so-called-disaster-sam-shepard-directs-the-late-henry-moss/
La Ciudad (The City),movie,"OCT 22, 1999",N/A,76,https://www.metacritic.com/movie/la-ciudad-the-city/
Living in Emergency: Stories of Doctors Without Borders,movie,"JUN 4, 2010",Unrated,76,https://www.metacritic.com/movie/living-in-emergency-stories-of-doctors-without-borders/
Tokyo Waka: A City Poem,movie,"AUG 28, 2013",Not Rated,76,https://www.metacritic.com/movie/tokyo-waka-a-city-poem/
The Death of Louis XIV,movie,"MAR 31, 2017",N/A,76,https://www.metacritic.com/movie/the-death-of-louis-xiv/
This Ain't California,movie,"APR 12, 2013",Not Rated,76,https://www.metacritic.com/movie/this-aint-california/
 The County,movie,"APR 30, 2021",N/A,76,https://www.metacritic.com/movie/the-county/
Father of the Bride,movie,"JUN 16, 1950",Approved,76,https://www.metacritic.com/movie/father-of-the-bride-1950/
A Very Long Engagement,movie,"NOV 26, 2004",R,76,https://www.metacritic.com/movie/a-very-long-engagement/
Menace II Society,movie,"MAY 26, 1993",R,76,https://www.metacritic.com/movie/menace-ii-society/
Chuck & Buck,movie,"JUL 14, 2000",R,76,https://www.metacritic.com/movie/chuck-buck/
Shine a Light,movie,"APR 4, 2008",PG-13,76,https://www.metacritic.com/movie/shine-a-light/
Blue Car,movie,"MAY 2, 2003",R,76,https://www.metacritic.com/movie/blue-car/
The Light of the Moon,movie,"NOV 1, 2017",N/A,76,https://www.metacritic.com/movie/the-light-of-the-moon/
The Breaker Upperers,movie,"FEB 15, 2019",N/A,76,https://www.metacritic.com/movie/the-breaker-upperers/
Cartel Land,movie,"JUL 3, 2015",R,76,https://www.metacritic.com/movie/cartel-land/
Heat,movie,"DEC 15, 1995",R,76,https://www.metacritic.com/movie/heat/
Soul Power,movie,"JUL 10, 2009",PG-13,76,https://www.metacritic.com/movie/soul-power/
We Grown Now,movie,"APR 19, 2024",PG,76,https://www.metacritic.com/movie/we-grown-now/
An Honest Liar,movie,"MAR 6, 2015",Not Rated,76,https://www.metacritic.com/movie/an-honest-liar/
Shotgun Stories,movie,"MAR 26, 2008",PG-13,76,https://www.metacritic.com/movie/shotgun-stories/
The Meaning of Hitler,movie,"AUG 13, 2021",N/A,76,https://www.metacritic.com/movie/the-meaning-of-hitler/
The Price of Everything,movie,"OCT 19, 2018",TV-14,76,https://www.metacritic.com/movie/the-price-of-everything/
What's Love Got to Do with It,movie,"JUN 25, 1993",R,76,https://www.metacritic.com/movie/whats-love-got-to-do-with-it/
Calibre,movie,"JUN 29, 2018",TV-MA,76,https://www.metacritic.com/movie/calibre/
Anita O'Day: The Life of a Jazz Singer,movie,"AUG 15, 2008",Not Rated,76,https://www.metacritic.com/movie/anita-oday-the-life-of-a-jazz-singer/
Soul Kitchen,movie,"AUG 20, 2010",N/A,76,https://www.metacritic.com/movie/soul-kitchen/
Shayda,movie,"DEC 1, 2023",PG-13,76,https://www.metacritic.com/movie/shayda/
Housebound,movie,"OCT 17, 2014",Not Rated,76,https://www.metacritic.com/movie/housebound/
Hail Satan?,movie,"APR 17, 2019",R,76,https://www.metacritic.com/movie/hail-satan/
 The Student,movie,"APR 21, 2017",Unrated,76,https://www.metacritic.com/movie/the-student-2016/
The Whistlers,movie,"FEB 28, 2020",Not Rated,76,https://www.metacritic.com/movie/the-whistlers/
Lovely Rita (2001),movie,"MAR 29, 2024",N/A,76,https://www.metacritic.com/movie/lovely-rita-2001/
The Dog,movie,"AUG 8, 2014",Not Rated,76,https://www.metacritic.com/movie/the-dog/
Zola,movie,"JUN 30, 2021",R,76,https://www.metacritic.com/movie/zola/
We Steal Secrets: The Story of WikiLeaks,movie,"MAY 24, 2013",R,76,https://www.metacritic.com/movie/we-steal-secrets-the-story-of-wikileaks/
Talk to Me,movie,"JUL 28, 2023",R,76,https://www.metacritic.com/movie/talk-to-me-2022/
,movie,"FEB 16, 2005",Not Rated,76,https://www.metacritic.com/movie/cinevardaphoto/
Ghostbox Cowboy,movie,"NOV 30, 2018",N/A,76,https://www.metacritic.com/movie/ghostbox-cowboy/
Midnight Special,movie,"MAR 18, 2016",PG-13,76,https://www.metacritic.com/movie/midnight-special/
Occupied City,movie,"DEC 24, 2023",PG-13,76,https://www.metacritic.com/movie/occupied-city/
The Unforeseen,movie,"FEB 29, 2008",Not Rated,76,https://www.metacritic.com/movie/the-unforeseen/
Spa Night,movie,"AUG 19, 2016",Unrated,76,https://www.metacritic.com/movie/spa-night/
Undertow,movie,"NOV 26, 2010",Not Rated,76,https://www.metacritic.com/movie/undertow-1969/
Zhantai,movie,"MAR 14, 2003",N/A,76,https://www.metacritic.com/movie/zhantai/
Rojo,movie,"JUL 12, 2019",N/A,76,https://www.metacritic.com/movie/rojo/
Japan,movie,"MAR 19, 2003",R,76,https://www.metacritic.com/movie/japan/
Tickled,movie,"JUN 17, 2016",R,76,https://www.metacritic.com/movie/tickled/
Brothers,movie,"MAY 6, 2005",R,76,https://www.metacritic.com/movie/brothers-2005/
The Last Station,movie,"DEC 4, 2009",R,76,https://www.metacritic.com/movie/the-last-station/
Mucho Mucho Amor,movie,"JUL 8, 2020",TV-14,76,https://www.metacritic.com/movie/mucho-mucho-amor/
The Guest,movie,"SEP 17, 2014",R,76,https://www.metacritic.com/movie/the-guest/
Red Penguins,movie,"AUG 4, 2020",PG-13,76,https://www.metacritic.com/movie/red-penguins/
Margin Call,movie,"OCT 21, 2011",R,76,https://www.metacritic.com/movie/margin-call/
 The Hand of God,movie,"DEC 3, 2021",R,76,https://www.metacritic.com/movie/the-hand-of-god/
Listen Up Philip,movie,"OCT 17, 2014",Not Rated,76,https://www.metacritic.com/movie/listen-up-philip/
The Ritchie Boys,movie,"OCT 13, 2006",N/A,76,https://www.metacritic.com/movie/the-ritchie-boys/
Regular Lovers,movie,"JAN 19, 2007",N/A,76,https://www.metacritic.com/movie/regular-lovers/
The Wild Goose Lake,movie,"MAR 6, 2020",N/A,76,https://www.metacritic.com/movie/the-wild-goose-lake/
The Holy Mountain,movie,"NOV 29, 1973",R,76,https://www.metacritic.com/movie/the-holy-mountain/
Son of Monarchs,movie,"OCT 15, 2021",R,76,https://www.metacritic.com/movie/son-of-monarchs/
The Wonders,movie,"OCT 30, 2015",Not Rated,76,https://www.metacritic.com/movie/the-wonders/
World on a Wire (1973),movie,"JUL 22, 2011",Not Rated,76,https://www.metacritic.com/movie/world-on-a-wire-1973/
Wonder Woman,movie,"JUN 2, 2017",PG-13,76,https://www.metacritic.com/movie/wonder-woman/
Murina,movie,"JUL 8, 2022",N/A,76,https://www.metacritic.com/movie/murina/
Something in the Dirt,movie,"NOV 4, 2022",R,76,https://www.metacritic.com/movie/something-in-the-dirt/
Tito and the Birds,movie,"DEC 6, 2018",N/A,76,https://www.metacritic.com/movie/tito-and-the-birds/
Temblores,movie,"NOV 29, 2019",Unrated,76,https://www.metacritic.com/movie/temblores/
Squaring the Circle (The Story of Hipgnosis),movie,"JUN 7, 2023",N/A,76,https://www.metacritic.com/movie/squaring-the-circle-the-story-of-hipgnosis/
The Hidden Blade,movie,"JUN 23, 2006",R,76,https://www.metacritic.com/movie/the-hidden-blade/
The Iron Ministry,movie,"AUG 21, 2015",Not Rated,76,https://www.metacritic.com/movie/the-iron-ministry/
Witness for the Prosecution,movie,"FEB 6, 1958",Approved,76,https://www.metacritic.com/movie/witness-for-the-prosecution/
(500) Days of Summer,movie,"JUL 17, 2009",PG-13,76,https://www.metacritic.com/movie/500-days-of-summer/
The Man Who Knew Too Much,movie,"JUN 1, 1956",TV-G,76,https://www.metacritic.com/movie/the-man-who-knew-too-much/
Me and You and Everyone We Know,movie,"JUN 17, 2005",R,76,https://www.metacritic.com/movie/me-and-you-and-everyone-we-know/
Spencer,movie,"NOV 5, 2021",R,76,https://www.metacritic.com/movie/spencer/
The Image Book,movie,"JAN 25, 2019",Not Rated,76,https://www.metacritic.com/movie/the-image-book/
The Secret Lives of Dentists,movie,"AUG 1, 2003",R,76,https://www.metacritic.com/movie/the-secret-lives-of-dentists/
 The Revenant,movie,"DEC 25, 2015",R,76,https://www.metacritic.com/movie/the-revenant-2015/
The Kingmaker,movie,"NOV 8, 2019",R,76,https://www.metacritic.com/movie/the-kingmaker/
La grande strada azzurra,movie,"JUN 8, 2001",Not Rated,76,https://www.metacritic.com/movie/la-grande-strada-azzurra/
Shaun of the Dead,movie,"SEP 24, 2004",R,76,https://www.metacritic.com/movie/shaun-of-the-dead/
Incredible But True,movie,"NOV 4, 2022",N/A,76,https://www.metacritic.com/movie/incredible-but-true/
Cassandro,movie,"SEP 15, 2023",R,76,https://www.metacritic.com/movie/cassandro/
Night Across the Street,movie,"FEB 8, 2013",Not Rated,76,https://www.metacritic.com/movie/night-across-the-street/
House Party,movie,"MAR 9, 1990",R,76,https://www.metacritic.com/movie/house-party/
La Piscine,movie,"AUG 1, 1970",GP,76,https://www.metacritic.com/movie/la-piscine/
